,DE_rand_1_bin,DE_best_1_bin,PSO,SOMA_all_to_one,SOMA_all_to_all
Ackley,4,3,1,2,5
Alpine01,4,3,1,2,5
Alpine02,4,3,2,1,5
Bohachevsky,4,2,1,3,5
CosineMixture,4,2,1,3,5
DefCorrSpring,4,2,1,3,5
DixonPrice,4,2,1,3,5
Griewank,4,3,1,2,5
InvCosineWave,4,3,1,2,5
Levy,4,3,1,2,5
Michalewicz_m1,4,3,2,1,5
Michalewicz_m10,4,3,2,1,5
Mishra07,4,3,1,2,5
Mishra11,4,1,2,3,5
Pathological,4,3,1,2,5
Rastrigin,4,2,1,3,5
Rosenbrock,4,2,1,3,5
Salomon,4,2,1,3,5
Schwefel22,4,3,1,2,5
Schwefel26,4,2,3,1,5
SineEnvelope,4,3,1,2,5
StretchedVSine,5,3,1,2,4
StyblinskiTang,4,2,1,3,5
Trigonometric02,4,2,1,3,5
Vincent,4,3,1,2,5
